headline,summary,source,url,published_at
"Kristi Noem’s shutdown airport video may violate Hatch Act, Sen. Cantwell warns",Multiple airports refuse to show  Homeland Security Secretary Kristi Noem's video blaming Democrats for the government shutdown because of its political tone.,CNBC,https://www.cnbc.com/2025/10/15/kristi-noem-airport-video-hatch-act-cantwell.html,2025-10-15 21:25:22
Amazon will soon offer vending machines for prescription drugs. What could go wrong?,"The retail pharmacy’s latest convenience play promises speed — but pharmacists warn of safety gaps, limited inventory and confusion for older patients.",MarketWatch,https://www.marketwatch.com/story/amazon-will-soon-offer-vending-machines-for-prescription-drugs-what-could-go-wrong-a485d488,2025-10-15 21:11:00
AI has already disrupted hiring for these jobs as adoption nears a tipping point,"Entry-level jobs are already at risk due to AI tools, HSBC analysts say, and the pressure could worsen in an economic downturn.",MarketWatch,https://www.marketwatch.com/story/ai-has-already-disrupted-hiring-for-these-jobs-as-adoption-nears-a-tipping-point-3e939d67,2025-10-15 20:49:00
"How Trump's $100,000 H-1B visa fee is already changing the job market search for skilled workers","President Trump's $100,000 fee for H-1B visas for skilled foreign workers poses risks to the economy and innovation, but may result in real job upskilling.",CNBC,https://www.cnbc.com/2025/10/15/trump-h1b-visa-fee-startups-jobs-recruit-hire-workers.html,2025-10-15 20:47:55
AMD’s stock just keeps climbing — and it all comes down to this factor,Analysts are cheering the increased revenue visibility that comes from AMD’s newly announced deals and that shifts the paradigm for what can be expected starting in 2027.,MarketWatch,https://www.marketwatch.com/story/amds-stock-just-keeps-climbing-and-it-all-comes-down-to-this-factor-cf2032d0,2025-10-15 20:44:00
How Trump has managed to postpone coal’s ‘inevitable’ demise,"President Donald Trump has managed to bring new life to coal — with his administration designating it as a critical mineral in April, and the U.S. Energy Department recently announcing a big investment to expand and “reinvigorate” the industry in the U.S.",MarketWatch,https://www.marketwatch.com/story/how-trump-has-managed-to-postpone-coals-inevitable-demise-0bf90a9e,2025-10-15 20:36:00
This low-risk sector has outperformed tech stocks this year — but it’s still all about AI,"The artificial-intelligence trade may be one of the prevailing narratives in the stock market right now, but it turns out one “boring” sector is actually beating Big Tech in 2025 — utilities.",MarketWatch,https://www.marketwatch.com/story/this-low-risk-sector-has-outperformed-tech-stocks-this-year-but-its-still-all-about-ai-c5349ac6,2025-10-15 20:11:00
America gets a ‘D’ in retirement,"U.S. adults are generally underprepared to live well in older age, according to a new report.",MarketWatch,https://www.marketwatch.com/story/america-gets-a-d-in-retirement-34b30f11,2025-10-15 20:00:00
Bunge shares soar 11% after Trump considers China cooking oil embargo,Bunge Global jumped on the back of the Trump administration's threat to cut off U.S. purchases of Chinese cooking oil.,CNBC,https://www.cnbc.com/2025/10/15/bunge-shares-soar-after-trump-considers-china-cooking-oil-embargo.html,2025-10-15 19:57:06
Government shutdown enters third week with no end in sight,Republican and Democrat senators continued to back opposing bills ahead of vote on stopgap funding that would reopen the U.S. government.,CNBC,https://www.cnbc.com/2025/10/15/government-shutdown-funding-bill-vote-aca.html,2025-10-15 19:23:33
"Jim Cramer debates what to do with 6 stocks, and urges investors to take action on Nike","The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET.",CNBC,https://www.cnbc.com/2025/10/15/jim-cramer-debates-what-to-do-with-6-stocks-and-urges-investors-to-take-action-on-nike.html,2025-10-15 19:08:19
Kendra Scott expands into Western wear with new boot collection,Jewelry brand Kendra Scott is the latest company to jump on the Western wear trend with the launch of a new boot collection.,CNBC,https://www.cnbc.com/2025/10/15/kendra-scott-jewelry-western-wear-boots.html,2025-10-15 18:00:02
Dollar Tree’s new earnings growth outlook gives investors a reason to cheer,"Dollar Tree sees a light at the end of the tunnel for tariff-mitigation costs, which should lead to accelerated earnings growth.",MarketWatch,https://www.marketwatch.com/story/dollar-trees-new-earnings-growth-outlook-gives-investors-a-reason-to-cheer-1e615d71,2025-10-15 17:38:00
Amazon’s stock comeback hinges on AWS hitting this magic number. Why analysts are cautious.,"Amazon’s AWS business likely needs to achieve 20% growth to excite Wall Street, but analysts see increased competition as a key hurdle.",MarketWatch,https://www.marketwatch.com/story/amazons-stock-comeback-hinges-on-aws-hitting-this-magic-number-why-analysts-are-cautious-a286cfe9,2025-10-15 17:12:00
"Tesla has big robotaxi ambitions, and now Waymo may be shifting its approach",Waymo has a reputation for moving deliberately in its autonomous-driving rollout. Now it’s picking up speed as the market looks to get more competitive.,MarketWatch,https://www.marketwatch.com/story/tesla-has-big-robotaxi-ambitions-and-now-waymo-may-be-shifting-its-approach-2e1181aa,2025-10-15 17:04:00
Millions of Americans risk their health and homes by living without insurance,"With premiums for health, vehicle and home insurance rising, many struggle to afford coverage. Too often they can’t afford to “go bare,” either.",MarketWatch,https://www.marketwatch.com/story/millions-of-americans-risk-their-health-and-homes-by-living-without-insurance-f816efe0,2025-10-15 16:43:00
This strategy lets you invest in the AI boom and reduce risk at the same time,Gabelli portfolio manager Macrae Sykes makes the case that financial-services companies are ‘levered to increased automation and more customization’,MarketWatch,https://www.marketwatch.com/story/this-strategy-lets-you-invest-in-the-ai-boom-and-reduce-risk-at-the-same-time-f91a9886,2025-10-15 16:39:00
"The most successful couples never let these 5 money mistakes ruin their relationship, says expert","""You can love each other deeply and still allow money to erode your relationship if you're talking about the wrong issues, or not talking at all,"" writes money expert Heather Boneparth.",CNBC,https://www.cnbc.com/2025/10/15/money-expert-successful-couples-never-let-these-financial-mistakes-ruin-their-relationship.html,2025-10-15 16:30:01
"The No. 1 attribute the best bosses share, says economist: It helps their employees earn 13% higher wages","Managers who can spot their workers' hidden talents — and help them shine — perform better than the rest, says a recent study from economist Virginia Minni.",CNBC,https://www.cnbc.com/2025/10/15/economist-the-best-bosses-share-this-skill-that-makes-workers-happier.html,2025-10-15 16:15:01
One of the last holdouts on Nvidia’s stock now predicts 78% upside. Here’s the thesis.,HSBC analysts now think Nvidia has the potential to vastly exceed Wall Street expectations for data-center revenue as the company’s customer base broadens.,MarketWatch,https://www.marketwatch.com/story/one-of-the-last-holdouts-on-nvidias-stock-now-predicts-78-upside-heres-the-thesis-24dcb911,2025-10-15 16:13:00
Jim Cramer's top 10 things to watch in the stock market Wednesday,Bank of America and Morgan Stanley kept up the streak of strong bank earnings.,CNBC,https://www.cnbc.com/2025/10/15/jim-cramers-top-10-things-to-watch-in-the-stock-market-wednesday.html,2025-10-15 16:04:28
"These cooking oil stocks are surging, as Trump-China trade tensions heat up","Shares of Bunge and Archer-Daniels-Midland rallied, after President Trump said America didn’t need to buy cooking oil from China, and can ‘easily produce cooking oil ourselves.’",MarketWatch,https://www.marketwatch.com/story/these-cooking-oil-stocks-are-surging-as-trump-china-trade-tensions-heat-up-66802f1c,2025-10-15 15:49:00
"The AI boom really isn’t — for the broader economy, according to these economists","For all the spending being done by the so-called hyperscalers, the effect on the broader economy is overstated and pales in comparison to previous investment booms.",MarketWatch,https://www.marketwatch.com/story/the-ai-boom-really-isnt-for-the-broader-economy-according-to-these-economists-299bfd9e,2025-10-15 15:47:00
LVMH’s third quarter suggests the slump in demand has bottomed — triggering a surge in luxury stocks,The luxury shifts to rally gear as traders sense an inflection point in the sector’s fortunes.,MarketWatch,https://www.marketwatch.com/story/lvmhs-third-quarter-suggests-the-slump-in-demand-has-bottomed-triggering-a-surge-in-luxury-stocks-734474a0,2025-10-15 15:19:00
"Here’s the good, bad and ugly earnings surprises that could hit investors’ favorite tech stocks",Six of the ‘Magnificent Seven’ companies get ready for Wall Street’s reaction as AI excitement cools.,MarketWatch,https://www.marketwatch.com/story/heres-the-good-bad-and-ugly-earnings-surprises-that-could-hit-investors-favorite-tech-stocks-bcff2353,2025-10-15 15:05:00
Here’s what’s really stopping Medicare Advantage from covering all of America’s seniors,"As Medicare open enrollment kicks off and millions of people consider their decisions, cities like Wichita and Rochester illustrate the dilemma seniors face.",MarketWatch,https://www.marketwatch.com/story/heres-whats-really-stopping-medicare-advantage-from-covering-all-of-americas-seniors-aa1319ce,2025-10-15 15:00:00
Bitcoin just lost more than stocks did in the 1929 market crash. It won’t be the last time.,"No investment is immune to sharp, painful downturns.",MarketWatch,https://www.marketwatch.com/story/bitcoin-just-lost-more-than-stocks-did-in-the-1929-market-crash-it-wont-be-the-last-time-feaae4aa,2025-10-15 14:50:00
Bank of America rides a 43% jump in investment-banking revenue to a big profit beat,"Stock rises toward an 18-year high, after bank’s net interest income hits a record and CEO Brian Moynihan cites strength across the board.",MarketWatch,https://www.marketwatch.com/story/bank-of-america-rides-a-43-jump-in-investment-banking-revenue-to-a-big-profit-beat-dff86a58,2025-10-15 14:50:00
Crypto hype is affecting everything from real estate to Treasurys. Here’s how to play it.,"Tokenization is unlikely to make you rich overnight. But it could make your portfolio more transparent, liquid and efficient.",MarketWatch,https://www.marketwatch.com/story/crypto-hype-is-affecting-everything-from-real-estate-to-treasurys-heres-how-to-play-it-51f501ed,2025-10-15 14:25:00
"‘Expensive, but not nutty.’ Howard Marks on U.S. stocks and the one thing investors should be doing right now.","Oaktree co-founder Howard Marks says investors should start taking some “chips off the table,” after a strong run for markets.",MarketWatch,https://www.marketwatch.com/story/expensive-but-not-nutty-howard-marks-on-u-s-stocks-and-the-one-thing-investors-should-be-doing-right-now-74c75960,2025-10-15 14:10:00
"Alexis Ohanian backs League One Volleyball, further expanding his women's sports portfolio",Ohanian's investment in volleyball comes as the sport has seen upticks in participation and viewership.,CNBC,https://www.cnbc.com/2025/10/15/alexis-ohanian-backs-league-one-volleyball.html,2025-10-15 14:00:01
"I’m 77. Despite my $1.4 million wealth, my expenses exceed my income. Do I sell stocks to pay off my mortgage?","“I started my own tax-preparation and representation firm. My annual revenue is $60,000 before taxes.”",MarketWatch,https://www.marketwatch.com/story/im-77-despite-my-1-4-million-wealth-my-expenses-exceed-my-income-do-i-sell-stocks-to-pay-off-my-mortgage-9cf66b23,2025-10-15 12:30:00
Europe’s largest company and AI play delivers on earnings but warns of China slowdown.,ASML’s 3Q earnings justify the optimism on the stock that saw its shares rally from a low of €597 in August to almost €900.,MarketWatch,https://www.marketwatch.com/story/europes-largest-company-and-ai-play-delivers-on-earnings-but-warns-of-china-slowdown-60c168eb,2025-10-15 12:05:00
Actress Bella Thorne sells flower-adorned Topanga Canyon estate for $3.9 million,The floral-filled hilltop villa sold for just shy of the $3.99 million asking price the home was listed for in late June.,MarketWatch,https://www.marketwatch.com/story/actress-bella-thorne-sells-flower-adorned-topanga-canyon-estate-for-3-9-million-6689f225,2025-10-15 12:00:00
Roseanne Barr sells $2.6 million Hawaii macadamia ranch from reality show,"Comedian Roseanne Barr sold her longtime Hawaii ranch for $650,000 over her $1.95 million asking price within days of listing the property.",MarketWatch,https://www.marketwatch.com/story/roseanne-barr-sells-2-6-million-hawaii-macadamia-ranch-from-reality-show-02ca5686,2025-10-15 11:58:00
AI brings Korea’s struggling film industry hopes and anxiety,"Jang Seong-ho’s King of Kings earned US$60m in the US, topping Parasite.",Bloomberg,https://www.bloomberg.com/news/articles/2025-10-12/ai-brings-korea-s-struggling-film-industry-hopes-and-anxiety?embedded-checkout=true,2025-10-15 02:35:53
"Jamie Dimon warns, ‘When you see one cockroach, there are probably more,’ after Tricolor loan loss","JPMorgan CEO Jamie Dimon said losses stemming from a bankrupt auto lender Tricolor may be immaterial to the bank, it could be a warning of other loan losses are coming.",MarketWatch,https://www.marketwatch.com/story/jamie-dimon-warns-when-you-see-one-cockroach-there-are-probably-more-after-tricolor-loan-loss-d04b7504,2025-10-14 23:56:00
Wall Street’s ‘fear gauge’ surges to highest level since May. Here’s what investors should know.,"After one of the quietest summers for the stock market in years, Wall Street’s fear gauge has once again shot higher as investors fretted that a trade standoff between the U.S. and China could escalate further.",MarketWatch,https://www.marketwatch.com/story/wall-streets-fear-gauge-surges-to-highest-level-since-may-heres-what-investors-should-know-cda56479,2025-10-14 23:42:00
Netflix and Spotify partner to bring podcasts by The Ringer to the video platform,Spotify announced Tuesday that it's partnering with Netflix to bring video podcasts to the streaming platform.,CNBC,https://www.cnbc.com/2025/10/14/spotify-ringer-netflix-video-podcasts.html,2025-10-14 23:11:31
Trump threatens China with cooking oil embargo over soybean snub,President Donald Trump said the U.S. is considering ending its cooking oil trade with China in retaliation for Beijing refusing to buy U.S. soybeans.,CNBC,https://www.cnbc.com/2025/10/14/trump-china-soybean-cooking-oil.html,2025-10-14 22:58:05
"The cheapest ticket to see Team USA play in the FIFA World Cup is $1,640. And prices will likely go even higher.","These are the factors driving up ticket prices to the global soccer tournament, which experts note is “not for your typical fan”",MarketWatch,https://www.marketwatch.com/story/the-cheapest-ticket-to-see-team-usa-play-in-the-fifa-world-cup-is-1-640-and-prices-will-likely-go-even-higher-05698fce,2025-10-14 22:51:00
Why Broadcom’s OpenAI deal may not be all it’s cracked up to be,"Broadcom seem to be betting on outdoing Nvidia and AMD on pricing and power — but expectations look overhyped, an analyst says, and he sees an AI correction coming.",MarketWatch,https://www.marketwatch.com/story/why-broadcoms-openai-deal-may-not-be-all-its-cracked-up-to-be-1dfbd9da,2025-10-14 22:22:00
"Walmart goes after Amazon on AI shopping — plus, 3 bits of great Boeing news","Every weekday, the Investing Club releases the Homestretch; an actionable afternoon update just in time for the last hour of trading.",CNBC,https://www.cnbc.com/2025/10/14/walmart-goes-after-amazon-on-ai-shopping-plus-3-bits-of-great-boeing-news.html,2025-10-14 22:17:04
"Tesla heads to court, and Musk’s paycheck is on the line",Delaware’s highest court will hear arguments over Elon Musk’s 2018 compensation deal.,MarketWatch,https://www.marketwatch.com/story/tesla-heads-to-court-and-musks-paycheck-is-on-the-line-a87397c4,2025-10-14 22:12:00
"Buy these stocks, analyst says, as Pentagon urges missile suppliers to increase production",The Pentagon reportedly wants to its missile suppliers to double or even quadruple production.,MarketWatch,https://www.marketwatch.com/story/buy-these-stocks-analyst-says-as-pentagon-urges-missile-suppliers-to-increase-production-d3abcdaf,2025-10-14 21:02:00
"As bitcoin slides, watch this signal to see how low it could go",Bitcoin resumed its decline on Tuesday as concerns around trade tensions between the U.S. and China returned to rattle traders following a brief reprieve on Monday.,MarketWatch,https://www.marketwatch.com/story/as-bitcoin-slides-watch-this-signal-to-see-how-low-it-could-go-b6473e0a,2025-10-14 20:46:00
"Trump’s tariffs on cabinets, furniture and lumber are live today, as trade tensions with China ramp up again",Concerns about U.S. trade policy are back in the spotlight after being overshadowed by the government shutdown and other matters.,MarketWatch,https://www.marketwatch.com/story/trumps-tariffs-on-cabinets-furniture-and-lumber-are-live-today-as-trade-tensions-with-china-ramp-up-again-556e5ff4,2025-10-14 20:13:00
Gold’s record-breaking rally could keep running thanks to growing demand from this group of investors,"Demand for gold among Western investors has climbed in recent months, even as the precious metal notches fresh record highs, but don’t say they’re late to the party, as rising government debt and strong central-bank purchases look set to continue to feed the rally.",MarketWatch,https://www.marketwatch.com/story/golds-record-breaking-rally-could-keep-running-thanks-to-growing-demand-from-this-group-of-investors-aba63695,2025-10-14 20:06:00
Fund managers headed into last Friday’s downturn at their most bullish level in eight months,"Fund managers headed into Friday’s sharp drawdown in their most bullish in eight months, according to a closely followed survey released Tuesday.",MarketWatch,https://www.marketwatch.com/story/fund-managers-headed-into-last-fridays-downturn-at-their-most-bullish-level-in-eight-months-00c87092,2025-10-14 19:52:00
Starship just completed its last flight of 2025. What comes next for Musk’s SpaceX.,It’s time for an upgrade in technology as SpaceX readies for orbital flights and other missions.,MarketWatch,https://www.marketwatch.com/story/starship-just-completed-its-last-flight-of-2025-what-comes-next-for-musks-spacex-6314c9ba,2025-10-14 19:48:00
Why analysts like the Broadcom-OpenAI deal — plus Cramer's asks for Salesforce,"The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET.",CNBC,https://www.cnbc.com/2025/10/14/why-analysts-like-broadcom-openai-deal-plus-our-asks-for-salesforce-.html,2025-10-14 19:28:52
How to build an anti-meme portfolio,Watch out: Meme stocks are back.,MarketWatch,https://www.marketwatch.com/story/how-to-build-an-anti-meme-portfolio-ad6df47e,2025-10-14 19:23:00
"Walmart’s stock is on pace for a new high, thanks to shopping partnership with OpenAI","Walmart Inc. was among the top performers on the Dow Jones Industrial Average on Tuesday and on pace to reach a new record high, after the big-box chain announced a partnership that will soon allow customers to buy items at the retailer through ChatGPT.",MarketWatch,https://www.marketwatch.com/story/walmarts-stock-is-on-pace-for-a-new-high-thanks-to-shopping-partnership-with-openai-6aabd465,2025-10-14 19:15:00
'The job is stressful enough.' Air traffic controllers get partial paychecks as government shutdown heads for third week,Air traffic controllers are required to work despite no pay during the government shutdown.,CNBC,https://www.cnbc.com/2025/10/14/government-shutdown-air-traffic-controllers.html,2025-10-14 19:10:50
The stock market performs much better when the government is actually doing its job,Politically polarized ‘gridlock’ in Washington leads to a significant reduction in both U.S. corporate investment and share prices.,MarketWatch,https://www.marketwatch.com/story/the-stock-market-performs-much-better-when-the-government-is-actually-doing-its-job-d071f9d1,2025-10-14 19:03:00
"‘It’s getting scary close to retirement’: We’re 70. We have no debt, no stocks and $275K in savings. Are we in trouble?","“We will have $4,300 a month in Social Security.”",MarketWatch,https://www.marketwatch.com/story/its-getting-scary-close-to-retirement-were-70-we-have-no-debt-no-stocks-and-275k-in-savings-are-we-in-trouble-1a4ba5f6,2025-10-14 19:00:00
"Religion, bookstores and running clubs are in: Gen Z’s ‘great unplugging’ is charging up these 6 stocks.",Younger Americans are walking away from screens and rediscovering the physical world.,MarketWatch,https://www.marketwatch.com/story/religion-bookstores-and-running-clubs-are-in-gen-zs-great-unplugging-is-charging-up-these-6-stocks-842f3055,2025-10-14 18:37:00
AI isn’t the solution to financial fraud — it actually might be the biggest problem,AI-generated scams are becoming more widespread.,MarketWatch,https://www.marketwatch.com/story/ai-isnt-the-solution-to-financial-fraud-it-actually-might-be-the-biggest-problem-4605aa66,2025-10-14 18:25:00
Gold will not protect you from inflation,Gold’s reputation as a hedge against inflation is constantly repeated until everyone just assumes it’s true.,MarketWatch,https://www.marketwatch.com/story/gold-will-not-protect-you-from-inflation-feafefa8,2025-10-14 18:15:00
"Boeing delivers 55 planes in September, on track for most in a year since 2018","Boeing handed over 55 aircraft in September, putting it on track for most annual deliveries since 2018 as production stabilizes.",CNBC,https://www.cnbc.com/2025/10/14/boeing-orders-deliveries-737-max.html,2025-10-14 18:00:01
"The AI boom is lifting the stock market, but it may be masking a weaker economy",AI spending is powering growth in GDP and profits but experts warn the rest of the U.S. economy may be weakening.,CNBC,https://www.cnbc.com/2025/10/14/ai-infrastructure-boom-masks-potential-us-recession-analyst-warns.html,2025-10-14 17:47:47
AMD is keeping its momentum alive. Here are two reasons for optimism.,"AMD just announced an extension of its relationship with Oracle. Plus, an analyst upgraded the stock and implied Wall Street’s profit expectations aren’t high enough.",MarketWatch,https://www.marketwatch.com/story/amd-is-keeping-its-momentum-alive-here-are-two-reasons-for-optimism-f12ce20c,2025-10-14 17:35:00
"Stocks keep soaring, but economists don’t think it creates a risk of financial crisis",Why the current AI boom shouldn’t be compared with the environments seen in the late 1990s and late 2000s.,MarketWatch,https://www.marketwatch.com/story/stocks-keep-soaring-but-economists-dont-think-it-creates-a-risk-of-financial-crisis-14489ef3,2025-10-14 17:17:00
"They love self-care, hate hustle, and need a job—a CEO's advice for an 'unemployable' Gen Zer","There's a sharp divide between what Gen Z values and what hiring managers are actually looking for, according to new research. CEO and Harvard-trained career expert Suzy Welch shares her advice for an ""unemployable"" generation.",CNBC,https://www.cnbc.com/2025/10/14/they-hate-hustle-but-need-a-joba-ceos-advice-for-an-unemployable-gen-z.html,2025-10-14 16:47:17
Can I put my RMD into my Roth IRA?,It’s Required Minimum Distribution season. What you can — and can’t do with them.,MarketWatch,https://www.marketwatch.com/story/can-i-put-my-rmd-into-my-roth-ira-244a0c46,2025-10-14 16:45:00
Jim Cramer's top 10 things to watch in the stock market Tuesday,Stock futures fell Tuesday as trade tensions between the U.S. and China intensified.,CNBC,https://www.cnbc.com/2025/10/14/jim-cramers-top-10-things-to-watch-in-the-stock-market-tuesday.html,2025-10-14 16:18:25
"U.S. economy still vulnerable to tariff shocks, IMF says, and labor shortages tied to immigration crackdown could also sting",The U.S. economy hasn’t suffered much so far from big increases in tariffs or a decline in the labor supply due to tighter immigration rules. But that might change.,MarketWatch,https://www.marketwatch.com/story/u-s-economy-still-vulnerable-to-tariff-shocks-imf-says-and-labor-shortages-tied-to-immigration-crackdown-could-also-sting-8987be99,2025-10-14 16:10:00
GM will take a $1.6 billion hit as it predicts a drop in EV demand. Here’s the latest setback.,GM’s stock is falling as the end of a critical tax credit will force the company to scale back its plans for EV investments.,MarketWatch,https://www.marketwatch.com/story/gm-will-take-a-1-6-billion-hit-as-it-predicts-a-drop-in-ev-demand-heres-the-latest-setback-2a3b792d,2025-10-14 15:26:00
Why your stock and bond index funds outsmart managers of college endowments,The best and the brightest are neither when it comes to investing.,MarketWatch,https://www.marketwatch.com/story/why-your-stock-and-bond-index-funds-outsmart-managers-of-college-endowments-db81876e,2025-10-14 15:02:00
Rockefeller Capital secures backing from Chanel dynasty's family office and others,The wealth advisory born from one of the world's oldest family offices is now worth $6.6 billion.,CNBC,https://www.cnbc.com/2025/10/14/rockefeller-capital-mousse-partners-greg-fleming-expansion.html,2025-10-14 15:00:02
Johnson & Johnson’s stock heads for a record after a profit beat and plans for another spinoff,Johnson & Johnson’s stock rose toward a record after a beat-and-raise earnings report and announcement of plans to separate its orthopedics business.,MarketWatch,https://www.marketwatch.com/story/johnson-johnsons-stock-heads-for-a-record-after-a-profit-beat-and-plans-for-another-spinoff-af403f00,2025-10-14 14:44:00
Ericsson’s stock rallies as bears surprised by earnings beat and positive guidance,Ericsson’s CEO hinted that there may be higher dividends or share buybacks coming.,MarketWatch,https://www.marketwatch.com/story/ericssons-stock-rallies-as-bears-surprised-by-earnings-beat-and-positive-guidance-a6f6732b,2025-10-14 14:38:00
ArcelorMittal M&A Head holds talks in South Africa over unit sale,The executive’s presence in the country is a sign that the discussions between the Luxembourg-based steelmaker and the Industrial Development Corp. have accelerated,Bloomberg,https://www.bloomberg.com/news/articles/2025-10-14/arcelormittal-m-a-head-holds-talks-in-south-africa-over-unit-sale,2025-10-14 14:07:53
Friday’s selloff broke something in the stock market. Here’s what that means for investors.,Longview Economics says investors should tread carefully with stocks as something was broken with Friday’s selloff last week.,MarketWatch,https://www.marketwatch.com/story/fridays-selloff-broke-something-in-the-stock-market-heres-what-that-means-for-investors-f93ae0c3,2025-10-14 13:57:00
